,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
240,barillas,40,GT,1619715921,47,15.8036,-91.3158,77,5.12
241,cooma,90,AU,1619715921,100,-36.2333,149.1333,42.8,4.61
242,bumbuna,91,SL,1619715922,52,9.05,-11.7333,88.72,4.23
243,nanortalik,16,GL,1619715854,78,60.1432,-45.2371,38.7,5.77
244,roebourne,0,AU,1619715923,44,-20.7833,117.1333,80.15,7.25
245,leningradskiy,94,RU,1619715923,91,69.3833,178.4167,16.68,4.5
246,cayenne,75,GF,1619715857,89,4.9333,-52.3333,80.01,4.61
247,ancud,75,CL,1619715924,82,-41.8697,-73.8203,64,13.8
248,gazanjyk,72,TM,1619715924,52,39.2446,55.5154,67.91,13.27
249,beian,20,NO,1619715925,65,63.6559,9.5683,42.8,11.5
250,manakara,2,MG,1619715925,89,-22.1333,48.0167,73.17,5.84
251,victor harbor,100,US,1619715926,95,42.9826,-77.4089,51.01,1.01
252,vao,35,NC,1619715926,67,-22.6667,167.4833,72.9,16.49
253,bowen,40,AU,1619715880,94,-20.0167,148.2333,66.2,8.05
254,camacha,40,PT,1619715927,55,33.0833,-16.3333,66.2,9.22
255,nicoya,75,CR,1619715928,48,10.1483,-85.452,87.8,8.05
256,zhuhai,0,CN,1619715865,83,22.2769,113.5678,75.2,3.44
257,nizhnevartovsk,75,RU,1619715928,93,60.9344,76.5531,37.4,8.95
258,popondetta,87,PG,1619715929,96,-8.7537,148.2534,70.79,2.71
259,baghdad,0,IQ,1619715790,19,33.3406,44.4009,91.4,5.75
260,jimma,94,ET,1619715930,93,7.6667,36.8333,61.27,0.92
261,surab,13,PK,1619715930,23,28.4914,66.2585,70.61,5.3
262,jiaojiang,0,CN,1619715930,66,28.6803,121.4428,64,4.7
263,aripuana,97,BR,1619715932,56,-9.1667,-60.6333,84.76,6.24
264,makakilo city,90,US,1619715932,73,21.3524,-158.0865,73.4,10.36
265,zabol,86,AF,1619715934,34,32.25,67.25,66.45,1.68
266,brusyliv,100,UA,1619715934,41,50.2845,29.5263,60.8,15.66
267,trelew,90,AR,1619715935,41,-43.249,-65.3051,72.27,2.82
268,pisco,75,PE,1619715935,88,-13.7,-76.2167,68,8.05
269,cabo san lucas,40,BR,1619715560,69,-8.2833,-35.0333,82.4,14.97
270,sitka,90,US,1619715936,93,57.0531,-135.33,46.4,5.23
271,pangody,100,RU,1619715936,93,65.85,74.4859,31.14,9.82
272,neuquen,0,AR,1619715935,60,-38.9516,-68.0591,68,4.61
273,huangchuan,2,CN,1619715937,76,32.1272,115.0394,64.98,7.54
274,severo-kurilsk,77,RU,1619715938,89,50.6789,156.125,34.59,7.11
275,missoula,1,US,1619715735,44,47.0166,-113.8009,60.01,6.13
276,kahului,40,US,1619715938,100,20.8947,-156.47,73.4,6.91
277,nobres,92,BR,1619715939,41,-14.7203,-56.3275,85.64,5.26
278,madang,84,PG,1619715940,92,-5.2246,145.7966,75.94,4.12
279,mandera,99,KE,1619715940,43,3.9366,41.867,90.54,11.14
280,havre-saint-pierre,90,CA,1619715940,81,50.2334,-63.5986,46.4,9.22
281,antofagasta,20,CL,1619715941,63,-23.65,-70.4,71.01,11.5
282,aktash,96,RU,1619715942,73,50.3,87.7333,40.62,2.95
283,meulaboh,99,ID,1619715942,87,4.1363,96.1285,78.03,4.56
284,itarema,100,BR,1619715943,74,-2.9248,-39.9167,83.46,10.89
285,eureka,90,US,1619715944,100,40.8021,-124.1637,46.4,3.44
286,half moon bay,40,LR,1619715944,74,6.3807,-10.6953,87.8,13.8
287,jumla,93,NP,1619715784,86,29.2747,82.1838,50.32,4.38
288,port hedland,94,CD,1619715574,78,-7.0349,29.7638,75.43,6.26
289,panevezys,0,LT,1619715945,54,55.7333,24.35,51.8,8.05
290,rocha,1,UY,1619715668,45,-34.4833,-54.3333,72.95,3.89
291,bajil,36,YE,1619715946,52,15.0584,43.2851,89.19,6.69
292,qaqortoq,75,GL,1619715562,65,60.7167,-46.0333,41,4.61
293,narsaq,75,GL,1619715947,65,60.9167,-46.05,41,4.61
294,annaberg-buchholz,95,DE,1619715948,79,50.5795,13.0063,57,13
295,broome,90,US,1619715948,100,42.2506,-75.833,62.01,1.99
296,najran,75,SA,1619715872,44,17.4924,44.1277,78.8,6.91
297,gombe,35,NG,1619715949,32,10.2897,11.1673,91.24,14.5
298,souillac,75,MU,1619715838,88,-20.5167,57.5167,77,13.8
299,arlit,36,NE,1619715950,5,18.7369,7.3853,106.65,9.4
300,beringovskiy,96,RU,1619715950,86,63.05,179.3167,18.37,4.56
301,vestmannaeyjar,90,IS,1619715951,87,63.4427,-20.2734,42.8,3.44
302,borova,0,UA,1619715951,41,50.1763,30.1043,60.8,6.71
303,solnechnyy,98,RU,1619715952,89,50.7214,136.6319,33.55,7.05
304,coracora,4,PE,1619715953,51,-15.0333,-73.7833,59.18,9.8
305,gusau,14,NG,1619715953,5,12.1628,6.6614,102.18,11.54
306,wexford,40,IE,1619715907,71,52.3342,-6.4575,46.99,1.14
307,san patricio,88,ML,1619715568,13,13.3034,-4.8956,106.39,8.86
308,liwale,70,TZ,1619715954,97,-9.7667,37.9333,69.66,3
309,roma,90,US,1619715843,87,43.2128,-75.4557,54,2.51
310,labuhan,87,ID,1619715955,85,-6.8844,112.2051,78.62,6.29
311,marawi,99,PH,1619715955,88,7.9986,124.2928,77,5.01
312,kushmurun,15,KZ,1619715956,50,52.4503,64.6311,48.67,8.46
313,obo,99,CF,1619715956,97,5.3998,26.4869,69.91,3.62
314,lyuban,100,BY,1619715957,67,52.7985,28.0048,52.32,10.58
315,nouadhibou,0,MR,1619715957,64,20.931,-17.0347,73.4,20.71
316,sola,99,VU,1619715958,65,-13.8833,167.55,80.87,21.21
317,genhe,59,CN,1619715958,78,50.7833,121.5167,26.13,4.43
318,bagdarin,100,RU,1619715959,93,54.4333,113.6,29.32,2.8
319,sept-iles,75,CA,1619715663,46,50.2001,-66.3821,51.8,3.44
320,lima,90,PE,1619715334,94,-12.0432,-77.0282,72,5.75
321,karatau,1,KZ,1619715960,28,43.1667,70.4667,70.09,6.8
322,sinnamary,90,GF,1619715862,79,5.3833,-52.95,79.92,6.64
323,atar,23,MR,1619715960,16,20.5169,-13.0499,96.13,14.85
324,leua,82,SK,1619715961,71,48.2156,18.6071,63,5.99
325,raymond,100,US,1619715812,94,43.9015,-70.4703,53.01,1.01
326,olga,100,RU,1619715962,48,43.7444,135.2892,39.7,4.18
327,pelym,88,RU,1619715963,76,61.0108,61.9978,37.45,5.17
328,yulara,44,AU,1619715964,46,-25.2406,130.9889,51.8,4.61
329,marovoay,20,MG,1619715908,89,-16.1,46.6333,78.8,2.3
330,damghan,8,IR,1619715964,51,36.1683,54.348,64.17,4.45
331,franca,97,BR,1619715965,24,-20.5386,-47.4008,81.52,0.98
332,honningsvag,90,NO,1619715965,100,70.9821,25.9704,26.6,33.38
333,namatanai,25,PG,1619715967,80,-3.6667,152.4333,79.32,3.69
334,katsuura,100,JP,1619715968,80,35.1333,140.3,64,10
335,znamenskoye,16,RU,1619715968,64,57.1281,73.8282,42.4,7.81
336,verkhoyansk,100,RU,1619715968,97,67.5447,133.385,21.65,1.79
337,mikhaylovskoye,100,RU,1619715969,73,51.8239,79.7172,58.03,9.8
338,xichang,92,CN,1619715970,54,27.8964,102.2634,61.43,0.65
339,ambanja,25,MG,1619715971,91,-13.6833,48.45,76.62,3.38
340,blythe,1,US,1619715971,17,33.6103,-114.5964,84,5.75
341,sao filipe,79,IN,1619715919,21,20.5113,76.2129,89.26,10.78
342,yaan,100,NG,1619715972,45,7.3833,8.5667,90.1,7.2
343,taguatinga,65,BR,1619715972,37,-12.3857,-46.5711,91.58,4.59
344,linxia,22,CN,1619715973,37,35.6003,103.2064,54.61,3.22
345,college,75,US,1619715973,64,64.8569,-147.8028,37.99,1.95
346,geneva,75,US,1619715857,72,41.8875,-88.3054,62.01,10.36
347,oudtshoorn,40,ZA,1619715974,88,-33.5907,22.2014,57.2,3.44
348,clinton,90,US,1619715738,100,42.587,-82.9199,50,11.5
349,yumen,27,CN,1619715974,16,40.2833,97.2,63.77,9.8
350,haines junction,90,US,1619715975,93,59.2286,-135.4441,41,9.22
351,paamiut,17,GL,1619715791,81,61.994,-49.6678,37.44,4.18
352,amberley,90,US,1619715975,88,39.2048,-84.428,69.01,18.41
353,calamar,40,CO,1619715976,74,10.2511,-74.9146,86,9.22
